category,text
정치,정진석 국회부의장이 이끄는 국민의힘 비상대책위원회 위원으로 임명됐던 주기환 전 대검찰청 검찰수사관이 13일 자진 사퇴했다.
정치,주 전 수사관은 윤석열 대통령의 측근으로 꼽힌다.
정치,"국방부가 핵무기 사용 다섯가지 조건을 명시한 북한의 핵무력 정책법에 대해 “만약 북한이 핵사용을 기도한다면 한미동맹의 압도적 대응에 직면하게 될 것이며, 북한 정권은 자멸의 길로 들어서게 될 것임을 경고한다”고 밝혔다."
정치,"그는 “북한의 완전한 비핵화를 추진한다는 우리 정부의 입장은 확고하며, 북한이 취한 이번 조치는 한미동맹의 억제 및 대응 능력을 더욱 강화시키게 되고, 국제사회로부터의 고립을 초래하며 북한 주민들의 고통을 심화시킬 뿐”이라고 말했다."
정치,추석연휴를 전후로 대대적 조직·인적 개편을 단행한 대통령실이 전 직원 참석 조회를 열고 심기일전을 다짐했다.
정치,김대기 대통령비서실장은 13일 용산 대통령실 강당에서 전 직원이 참석하는 조회를 주재하고 대내외적으로 복합적인 위기 상황에서 공직자로서 국민에 헌신하는 자세를 가져 달라고 거듭 당부한 것으로 전해졌다.
경제,삼성전자와 LG전자가 세계적 권위의 국제 디자인 공모전 ‘IDEA 2022’의 최고상을 받는 등 주요 부문을 대거 수상하는 쾌거를 거뒀다.
경제,"올해 상반기 신용카드사의 순이익이 할부카드 수수료, 가맹점 수수료 수입 증가 등에 힘입어 늘어난 것으로 나타났다."
경제,상반기 중 신용·체크카드 이용액은 516조원으로 집계됐다.
경제,기준금리 인상으로 전세보증금 마련 부담이 늘어난데다 깡통전세 증가에 따른 전세 사기 걱정 등이 영향을 미친 것으로 조사됐다.
경제,"항목별로 2020년 10월 조사 결과와 비교하면 '사기, 전세금반환 등 목돈 떼일 부담이 적어서'라는 이유가 약 2배 늘었고, '금리 인상에 따른 이유로 전세대출 이자 부담이 커져서'라는 답변도 10% 이상 늘었다."
경제,"전·월세 임대인 응답자 중에서는 53.5%가 전세를 선호했는데, 연령이 높아질수록 '월세' 선호 비율이 커졌습니다. "
문화,넷플릭스를 통해 공개된 한국 드라마 '오징어 게임'이 전 세계의 주목을 다시 한번 받았다. 13일 열린 에미상 시상식에서 K-콘텐츠 역사를 새롭게 쓴 것이다.
문화,"지난 5일 열린 '제74회 크리에이티브 아츠 프라임타임 에미상'에서는 이유미가 드라마 시리즈 부문 여우 게스트상을 차지했으며, 이어 프로덕션디자인상, 스턴트퍼포먼스상, 시각효과상까지 수상하며 4관왕에 올랐다."
문화,"문화체육관광부(장관 박보균, 이하 문체부)는 한국국제문화교류진흥원(원장 정길화, 이하 진흥원)과 함께 ‘2022 한류생활문화한마당 모꼬지 대한민국’(이하 모꼬지 대한민국)을 우즈베키스탄(9. 24.~25.)과 말레이시아(11. 12.~13.)에서 개최한다고 밝혔다."
문화,"‘모꼬지 스퀘어’에서는 ‘이상한 변호사 우영우’, ‘옷 소매 붉은 끝동’, ‘갯마을 차차차’ 등의 인기 한국 드라마와 ‘미남호떡’, ‘세화 가는 길’ 등의 웹툰을 전시하고 궁중 한복을 입어보는 등 드라마 속 한국 생활문화를 직접 체험할 수 있는 프로그램을 운영한다."
문화,해외 온라인동영상서비스(OTT) 업체 넷플릭스가 야심작 '수리남'을 내세워 지난해 '오징어게임'의 성공 신화를 이어가고 있다.
문화,지난 12일 온라인 주문형 비디오(VOD)·스트리밍 순위 집계 사이트 플릭스패트롤에 따르면 수리남은 넷플릭스 TV쇼 부문 8위를 기록했다.
과학,대통령상 수상작으로 충북과학고등학교 이호선 학생의 ‘렌즈 안팎의 뒤집힘을 쉽게 확인할 수 있는 콘택트렌즈 케이스’ 작품이 선정됐다.
과학,"이 작품은 사용자가 콘택트렌즈를 착용할 때 안팎이 뒤집힌 상태인지 쉽게 확인할 수 있는 작품으로서, 렌즈사용시의 앞뒤 구별이 곤란한 불편함과 재착용시 발생가능한 위생상의 문제점을 빛의 특성을 이용하여 렌즈의 뒤집힘을 쉽게 구별할 수 있는 콘택트렌즈케이스를 발명해 해결하였다."
과학,지난 6월 발사된 누리호에 4개의 큐브위성이 실렸다.
과학,우리나라 역시 상대적으로 접하기 어려운 우주 분야 교육에 학생들이 쉽게 접근해 우주 분야 기본 소양을 높일 수 있도록 2012년부터 매년 ‘캔위성 체험‧경연대회’를 개최하고 있다.
과학,울산대학교 반도체학과 김정대 교수 연구팀은 13일 바일준금속(Weyl semimetal)의 전자구조를 제어할 수 있는 양자소자 개발과 관련해 신물질을 합성하는 데 성공했다고 밝혔다.
과학,독일의 물리학자 헤르만 바일(Hermann Weyl)이 제안한 바일준금속은 독특한 위상성질을 가지고 있어 해당 금속에 전압을 걸어주면 전자가 이동하는 통로가 형성돼 이 통로에서는 저항을 받지 않고 전류가 흐를 수 있다. 
